--- NEW SESSION ---
232277,-0.02,0.00,1.00,0.24,-1.22,-0.06
232287,-0.02,0.01,1.00,-0.06,-0.12,-0.67
232297,-0.03,-0.01,1.01,0.24,-0.67,-0.55
232307,-0.03,-0.00,1.01,-0.12,0.06,-0.79
232317,-0.02,0.01,0.99,-0.24,-0.49,-0.73
232327,-0.02,-0.00,0.99,-0.06,0.37,-0.61
232337,-0.02,0.00,1.01,0.18,0.85,-0.73
232347,-0.02,0.00,1.00,-0.06,-0.12,-0.73
232357,-0.01,0.00,1.00,-0.12,-0.24,-0.67
232367,-0.02,-0.01,1.01,-0.18,-0.49,-0.61
232377,-0.04,-0.01,1.00,0.31,-0.18,-0.12
232387,-0.02,0.00,1.01,-0.12,-0.12,-0.43
232397,-0.02,-0.01,1.00,-0.12,0.18,-0.37
232407,-0.02,0.01,1.00,0.18,-0.49,-0.79
232417,-0.03,0.01,1.00,-0.43,0.12,-1.16
232427,-0.02,0.01,0.99,0.12,0.00,-0.49
232437,-0.04,0.01,1.00,-0.49,0.00,-0.37
232447,-0.03,-0.00,1.00,0.12,-0.12,-0.85
232457,-0.02,-0.01,1.00,-0.37,-0.06,-0.85
232467,-0.02,0.00,1.00,0.06,0.18,-0.43
232477,-0.01,0.01,1.00,-0.37,0.12,-0.98
232487,-0.03,0.01,1.00,-0.55,-0.31,-0.24
232497,-0.02,0.02,1.01,-0.37,-0.18,-0.31
232507,-0.03,-0.01,1.00,-0.61,0.37,-1.04
232517,-0.01,0.00,1.01,-0.24,0.55,-0.55
232527,-0.02,-0.00,0.99,0.12,-0.85,-0.85
232537,-0.03,-0.01,1.00,-0.43,-0.67,-1.40
232547,-0.03,0.00,0.99,-0.24,-1.22,-0.24
232557,-0.04,0.01,0.99,-0.67,0.06,-1.10
232567,-0.02,0.00,1.01,-0.49,-0.61,-0.92
232577,-0.02,0.01,1.00,-0.55,-0.24,-0.61
232587,-0.02,0.01,1.02,-0.43,0.24,-0.92
232597,-0.03,-0.00,1.01,-0.18,-0.49,-0.55
232607,-0.03,0.00,1.02,0.12,-0.37,-0.73
232617,-0.02,-0.01,1.00,0.24,-0.43,-0.61
232627,-0.02,0.00,1.00,-0.43,0.43,-1.10
232637,-0.03,0.01,1.01,-0.37,0.12,0.00
232647,-0.01,0.00,1.00,0.18,-0.67,-0.12
232657,-0.02,0.01,1.01,-0.31,0.31,-0.24
232667,-0.03,0.01,1.00,0.00,-0.79,-0.43
232677,-0.03,0.01,1.00,0.55,0.18,-0.98
232687,-0.03,-0.01,1.00,-0.43,0.49,-0.43
232697,-0.02,0.00,1.00,-0.18,0.24,-0.43
232707,-0.03,0.01,1.01,0.24,0.00,-0.24
232717,-0.03,-0.00,1.02,0.06,-0.12,-0.79
232727,-0.02,0.01,0.99,0.18,-0.73,-0.37
232737,-0.02,-0.01,0.99,-0.24,-0.18,-0.18
232747,-0.03,-0.00,1.00,0.49,-0.85,-0.18
232757,-0.03,0.00,1.02,-0.43,-0.49,-0.73
232767,-0.03,-0.00,0.99,-0.49,0.43,-1.04
232777,-0.02,0.01,1.00,-0.31,-0.67,0.24
232787,-0.02,-0.01,1.00,-0.37,0.00,-0.18
232797,-0.01,0.01,1.01,0.00,0.12,-0.67
232807,-0.02,0.00,0.99,-0.24,1.28,-0.73
232817,-0.02,0.00,0.99,-0.12,-1.28,-0.43
232827,-0.03,0.01,1.01,0.24,-0.31,-0.24
